编号,论文标题 (Paper Title),大致工作内容 (Brief Description)
1,A Causal Perspective for Enhancing Jailbreak Attack and Defense,从因果推断角度增强越狱攻击与防御
2,A Deep Dive into Function Inlining and its Security Implications for ML-based Binary Analysis,深入研究函数内联对基于机器学习的二进制分析的安全影响
3,A Hard-Label Black-Box Evasion Attack against ML-based Malicious Traffic Detection Systems,针对基于机器学习的恶意流量检测系统的硬标签黑盒规避攻击
4,A Unified Defense Framework Against Membership Inference in Federated Learning via Distillation and Contribution-Aware Aggregation,通过蒸馏与贡献感知聚合防御联邦学习成员推断的统一框架
5,Abuse Resistant Traceability with Minimal Trust for Encrypted Messaging Systems,为加密消息系统提供最小信任下的抗滥用可追溯性
6,ACE: A Security Architecture for LLM-Integrated App Systems,提出ACE架构，通过抽象-具体-执行三阶段隔离防御LLM应用中的间接提示注入
7,Achieving Interpretable DL-based Web Attack Detection through Malicious Payload Localization,通过恶意载荷定位实现可解释的深度学习Web攻击检测
8,Achieving Zen: Combining Mathematical and Programmatic Deep Learning Model Representations for Attribution and Reuse,结合数学与程序表示实现深度学习模型溯源与重用检测
9,Action Required: A Mixed-Methods Study of Security Practices in GitHub Actions,混合方法研究GitHub Actions中的安全实践问题
10,Actively Understanding the Dynamics and Risks of the Threat Intelligence Ecosystem,主动理解威胁情报生态系统的动态与风险
11,ACTS: Attestations of Contents in TLS Sessions,TLS会话中内容的证明机制
12,ADGFUZZ: Assignment Dependency-Guided Fuzzing for Robotic Vehicles,基于赋值依赖引导的机器人车辆模糊测试
13,AirSnitch: Demystifying and Breaking Client Isolation in Wi-Fi Networks,揭示并破坏Wi-Fi网络中的客户端隔离
14,Aliens Among Us: Observing Private or Reserved IPs on the Public Internet,在公共互联网上观察私有或保留IP
15,An LLM-Driven Fuzzing Framework for Detecting Logic Instruction Bugs in PLCs,利用LLM驱动模糊测试检测PLC逻辑指令漏洞
16,"Analysis of the Security Design, Engineering, and Implementation of the SecureDNA System",SecureDNA系统的安全设计、工程与实现分析
